rep_id,bench_number,traffic,primary_street,direction,secondary_street,cor,city,zip,latitude,longitude
1,LA-5760,WB,Pico Blvd,NS,Alvarado St,NEC,Pico-Union,90006,34.0472,-118.2824
1,LA-5568,WB,Pico Blvd,NS,Ave of the Stars,NEC,Century City,90067,34.0515,-118.4084
1,LA-0164,WB,Pico Blvd,NS,Harvard Blvd,NEC,Harvard Heights,90006,34.0473,-118.3039
1,LA-1917,EB,Pico Blvd,NS,Hi Point St,SWC,Carthay,90035,34.0519,-118.369
1,LA-1918,WB,Pico Blvd,NS,Kerwood Ave,NEC,Century City,90064,34.0476,-118.4151
1,LA-1924,WB,Pico Blvd,NS,Manning Ave,NEC,West Los Angeles,90064,34.0432,-118.4228
1,LA-5574,WB,Pico Blvd,NS,Plymouth Blvd,NEC,Mid-City,90019,34.0483,-118.3305
1,LA-5576,EB,Pico Blvd,NS,Redondo Blvd,SWC,Mid-Wilshire,90019,34.0479,-118.3498
1,LA-1953,EB,Pico Blvd,NS,Sherbourne Dr,SWC,Pico-Robertson,90035,34.0539,-118.3797
1,LA-1429,EB,Pico Blvd,FS,Tremaine Ave,SEC,Mid-City,90019,34.0483,-118.3403
1,LA-0763,SB,Reseda Blvd,NS,Oxnard St,NWC,Tarzana,91356,34.1801,-118.5361
1,LA-0777,NB,Reseda Blvd,FS,Ventura Blvd,NEC,Tarzana,91356,34.1689,-118.536
1,LA-7202,NB,Riverside Dr,NS,Eads St,NWC,Montecito Heights,90031,34.0938,-118.241
1,LA-6909,WB,Riverside Dr,NS,La Maida St,NEC,Valley Village,91607,34.1577,-118.4093
1,LA-7584,EB,Riverside Dr,NS,Radford Ave,SWC,Valley Village,91607,34.1575,-118.3923
1,LA-1980,SB,Robertson Blvd,NS,Airdrome St,NWC,Pico-Robertson,90035,34.0491,-118.3855
1,BH-0011,SB,San Vicente Blvd,FS,Hamilton Dr,SWC,Beverly Hills,90211,34.0687,-118.3752
1,LA-1992,NB,San Vicente Blvd,NS,Wilshire Blvd,SEC,Beverly Grove,90048,34.0638,-118.3709
1,LA-2004,WB,Santa Monica Blvd,FS,Century Park East,NWC,Century City,90024,34.0611,-118.4191
1,LA-4653,WB,Santa Monica Blvd,NS,Edgemont St,NEC,East Hollywood,90029,34.091,-118.2959
1,LA-3757,WB,Santa Monica Blvd,NS,Federal Ave,NEC,Sawtelle,90025,34.0449,-118.4539
